<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
03/01/23;000000;141.6;143.25;141.56;141.78;21027110
04/01/23;000000;141.84;142.28;140.75;141.43;17094250
05/01/23;000000;141.6;141.84;140.54;141.27;17236330
06/01/23;000000;141.35;141.62;140.9;141.4;10647380
09/01/23;000000;141.84;142.99;141.65;142.4;31314900
10/01/23;000000;142.11;142.85;141.31;142.81;23691190
11/01/23;000000;142.97;149.98;142.87;149.96;123046960
12/01/23;000000;150.05;150.79;148.39;149.3;46557290
13/01/23;000000;149.57;153.28;147.71;151.69;88460580
16/01/23;000000;152.85;154;151.88;153.71;51527810
17/01/23;000000;153.97;154.31;150.01;150.45;84226560
18/01/23;000000;150.4;153;149.41;151.47;67364580
19/01/23;000000;151.2;152.85;148.56;149.34;66640910
20/01/23;000000;149.7;151.4;148.64;151.38;44165570
23/01/23;000000;151.9;154.1;151.01;153.5;55100140
24/01/23;000000;153.94;155.58;152.28;152.66;78662030
25/01/23;000000;152.45;153.6;151.5;152.81;43317800
26/01/23;000000;153.32;154.3;151.73;152.4;45375340
27/01/23;000000;152.4;153.48;151.69;153.2;34069080
30/01/23;000000;153.5;153.88;152.21;153.38;31014210
31/01/23;000000;153.51;158.18;153.3;158.07;77840320
01/02/23;000000;158.2;159.6;156.5;158.29;66229060
02/02/23;000000;158.39;160.29;157.37;159.45;53822290
03/02/23;000000;159.09;162.32;157.88;161.26;63595690
06/02/23;000000;161.71;167.17;161.01;167.09;88885050
07/02/23;000000;167.3;168.7;163.4;165.39;92561690
08/02/23;000000;165.1;166.35;162.7;164.15;58565870
09/02/23;000000;164.35;167.47;161.27;165.31;107000260
10/02/23;000000;165;166.49;164.5;165.52;40772540
13/02/23;000000;165.21;166.88;164.17;164.32;36134650
14/02/23;000000;164.3;164.38;161.64;161.86;58676770
15/02/23;000000;160.93;161.12;153.83;156.25;113600860
16/02/23;000000;157.34;159.3;156.25;158.22;68386460
17/02/23;000000;157.95;160.38;156.91;159.73;51777410
20/02/23;000000;159.42;161.3;156.73;160.09;63810790
21/02/23;000000;160.64;165.65;159.26;164.15;127324000
22/02/23;000000;164.13;164.42;162.5;163.37;43695690
24/02/23;000000;163.33;165.5;163.1;164.3;37700530
27/02/23;000000;163.64;170;162.96;169.95;100005170
28/02/23;000000;170.48;171.92;168.37;169.82;80540860
01/03/23;000000;170.4;171.66;169.5;170.53;53655680
02/03/23;000000;170.4;170.4;166.55;168.05;86014000
03/03/23;000000;168.2;171.26;167.9;171.16;49424990
06/03/23;000000;172.13;172.99;171.35;171.84;64237540
07/03/23;000000;171.87;174.2;171;174.01;55231190
09/03/23;000000;174.85;174.89;172.21;172.55;79748090
10/03/23;000000;171.71;173;170.58;172.53;49778720
13/03/23;000000;172.53;173.9;169.26;172.15;73298080
14/03/23;000000;171.65;176.95;171.01;175.71;89212040
15/03/23;000000;176;177.37;173.59;175.3;79838900
16/03/23;000000;174.9;176.04;173.36;175.45;51345380
17/03/23;000000;183.02;193.66;178.56;193.59;384905230
20/03/23;000000;196.03;205.09;195;203.73;155827740
21/03/23;000000;204.75;208;201.25;203.32;122268990
22/03/23;000000;203.41;204.4;201.59;202.89;57464560
23/03/23;000000;202.55;204.2;202.22;202.58;26484020
24/03/23;000000;202.85;203.85;202;203.57;24297290
27/03/23;000000;204.02;213.2;204.01;211.84;101348890
28/03/23;000000;212.85;214.7;210.67;214.03;73669280
29/03/23;000000;214.86;219.53;213.6;217.99;96549640
30/03/23;000000;217.34;218.45;216.12;216.87;40737550
31/03/23;000000;217.2;217.35;211.3;216.6;88023190
03/04/23;000000;218.45;219.44;214.8;216.09;54788980
04/04/23;000000;216.2;217.29;213.8;214.83;45747250
05/04/23;000000;214.69;216.3;211.4;216.15;46127960
06/04/23;000000;216.3;217.38;214.07;214.25;38993420
07/04/23;000000;214.5;216.39;213.65;216.27;29157060
10/04/23;000000;217.1;222.26;216.61;222.21;84958930
11/04/23;000000;222.9;223.33;217.62;218.6;98349200
12/04/23;000000;218.62;219.7;216.67;219.22;44633200
13/04/23;000000;219.41;220.89;218;219.85;32580550
14/04/23;000000;219.99;222.5;218.51;221.87;43248810
17/04/23;000000;222.97;228.2;222.91;228.1;78562510
18/04/23;000000;227.89;232.76;227.05;232.66;97459980
19/04/23;000000;232.67;237.37;231.1;232.95;115494020
20/04/23;000000;233.32;236.47;229.84;236.28;85046740
21/04/23;000000;237.4;238.85;233.52;235.17;115606560
24/04/23;000000;235.09;236.4;234.1;235.1;30405040
25/04/23;000000;235.16;235.82;234.21;235.3;32063750
26/04/23;000000;235.55;235.95;234.91;235.21;24351620
27/04/23;000000;235.51;240.74;235.13;240.38;68224840
28/04/23;000000;240.86;241.58;237.66;240.38;49494960
02/05/23;000000;242.2;245;237.4;242.62;83246880
03/05/23;000000;242.85;242.99;234;235.77;76740930
04/05/23;000000;236.51;239.74;236.05;238.89;53006840
05/05/23;000000;239.19;240.66;237.3;237.7;61314710
08/05/23;000000;238.65;239.86;237.36;238.27;47676110
10/05/23;000000;216.51;227.5;215.7;227.06;154134860
11/05/23;000000;228.57;235.38;223.94;229.32;197037380
12/05/23;000000;231.05;232.47;226.15;229.29;69831820
15/05/23;000000;230.54;231.75;228.52;231.7;48873370
